Course_ID,Instructor,Course_Name,Duration_Days,Topic
1641D,Annie Sheehan,Courageous Sponsorship,1,Leadership
1651D,Annie Sheehan,Empowering Leaders to Execute Strategically,1,Leadership
0742D,April Callis-Birchmeier,Change Acceleration: Simplify and Succeed,2,"Business Acumen, softskills"
2063D,April Callis-Birchmeier,Leading Change that Sticks; Drive Adoption and Results,3,Leadership
1813D,Bob Maiale,Plan and Control: Project Management Foundations,3,"Construction, PM Skills , PM Skills"
1821D,Bob Maiale,Project Risk Mastery: Anticipate and Respond,1,"RISK, 0"
1831D,Bob Maiale,Lead Anywhere: Master Matrix and Remote Teams,1,0
2002D,Bob Maiale,Construction Execution Planning ,2,"Construction, 0"
2012D,Bob Maiale,NEW! Construction Technology and Innovation,2,Construction
2022D,Bob Maiale,Construction Performance and Materials Management ,2,Construction
0552D,Brad Bigelow,Scope Management Secrets,2,PM Skills
0672D,Brad Malone,Proactive Risk Management,2,RISK
0724D,Brad Malone,From PMBOK® to Practice: Building Your PM Competency Foundation,4,RISK
1602D,Brad Malone,Project Management Foundations: Launch Your Success,2,PM Skills
1344H,Carl Pritchard,Adaptive Project Management,0.6,PM Skills
1524H,Carl Pritchard,"The Engaged, Empowered, and Happy Stakeholder ",0.5,PM Skills
1712D,Carl Pritchard,Risk Management Essentials,2,RISK
1394H,Carlene Szostak,Thrive in the AI Era: Future-Ready PM Skills,0.5,AI
1731D,Carlene Szostak,Leading Remote Teams,1,soft skills
1741D,Carlene Szostak,AI Ethics for Project Managers,1,AI
2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,AI Technical
1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,PMO
1972D,Christine Aykac,The Adaptive PMO: Mastering Agile Transformation,2,PMO
1932D,Debra Howell,Rise Through Resilience,2,soft skills
0872D,Drew Clark,Drive Digital Transformation at Scale,2,Agile
0951D,Drew Clark,Agile Leadership for Digital Transformation,1,"Agile, Leadership"
0904D,Eric Foss,Evolve Your PMO,4,PMO
2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,"Skills, soft skills"
