Event_ID,Event,Day,Date,Course_ID,Instructor,Course_Name,Duration_Days,Room,Conflict,Configured
EV001,Virtual-Feb,1,2/23/2026,0132D,Kristy Tan Neckowicz,"Build High-Performing Teams: Communicate, Motivate, Excel",2,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,0823D,"Joyce Brown, Thomas McCabe",Strategic Portfolio Management,3,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,1132D,Jack Duggal,Become a Changemaker: Transform Organizations,2,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,1421D,Esra Tepeli,AI for Strategic Decisions: Leveraging Analysis,1,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,1702D,Peter Ivanov,AI Agents for Project Excellence,2,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV001,Virtual-Feb,1,2/23/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,0132D,Kristy Tan Neckowicz,"Build High-Performing Teams: Communicate, Motivate, Excel",2,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,0823D,"Joyce Brown, Thomas McCabe",Strategic Portfolio Management,3,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,1132D,Jack Duggal,Become a Changemaker: Transform Organizations,2,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,1702D,Peter Ivanov,AI Agents for Project Excellence,2,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,1802D,Klaus Boedker,Leading with AI for Project Managers,2,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,1972D,Christine Aykac,Adaptive PMO: Mastering Agile Transformation,2,1,,Yes
EV001,Virtual-Feb,2,2/24/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,0182D,Klaus Nielsen,Business Case—Best Practices for Success,2,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,0621D,Jack Duggal,Lead Through Uncertainty: Next-Gen Communication Skills,1,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,0672D,Brad Malone,Proactive Risk Management,2,1,YES - Instructor Unavailable,Yes
EV001,Virtual-Feb,3,2/25/2026,0682D,Michel Thiry,Program Management Adaptive Practices,2,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,0823D,"Joyce Brown, Thomas McCabe",Strategic Portfolio Management,3,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,1892D,Tyson Rydl,Human Design Pattern Thinking,2,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,2033D,Chris Leonard,NEW! Leading AI-enabled Product Development,3,1,,Yes
EV001,Virtual-Feb,3,2/25/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV001,Virtual-Feb,4,2/26/2026,0182D,Klaus Nielsen,Business Case—Best Practices for Success,2,1,,Yes
EV001,Virtual-Feb,4,2/26/2026,0672D,Brad Malone,Proactive Risk Management,2,1,YES - Instructor Unavailable,Yes
EV001,Virtual-Feb,4,2/26/2026,0682D,Michel Thiry,Program Management Adaptive Practices,2,1,,Yes
EV001,Virtual-Feb,4,2/26/2026,1074H,Kathy Mendias,  Communication GPS: Keep Your Project on Track,0.5,1,,Yes
EV001,Virtual-Feb,4,2/26/2026,1892D,Tyson Rydl,Human Design Pattern Thinking,2,1,,Yes
EV001,Virtual-Feb,4,2/26/2026,2092D,Erin Ramirez,Mastering Adaptability for Modern Project Success,2,1,,Yes
EV002,Scottsdale,1,3/16/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV002,Scottsdale,1,3/16/2026,0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage)",2,1,,Yes
EV002,Scottsdale,1,3/16/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV002,Scottsdale,1,3/16/2026,0541D,Thomas Jarocki,Managing the Human Side of Projects,1,1,,Yes
EV002,Scottsdale,1,3/16/2026,0562D,Iain Fraser,"Value Management – Designed, Built, and Operationalized for Success",2,1,,Yes
EV002,Scottsdale,1,3/16/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV002,Scottsdale,1,3/16/2026,0724D,Brad Malone,From PMBOK® to Practice: Building Your PM Competency Foundation,4,1,,Yes
EV002,Scottsdale,1,3/16/2026,1101D,Greta Blash,Hybrid Project Management: The Best of Both Worlds,1,1,,Yes
EV002,Scottsdale,1,3/16/2026,1464D,Jack Duggal,Next-Gen PMO: Build for Uncertainty,4,1,,Yes
EV002,Scottsdale,1,3/16/2026,1482D,Oscar Wasilik,"Artificial Intelligence-Powered Project Excellence: Roadmaps, Success Strategies, and Practical Tools",2,1,,Yes
EV002,Scottsdale,2,3/17/2026,0032D,"Lisa Hammer, David Newman","Adapt, Adopt, and Accomplish for Project Management Success",2,1,,Yes
EV002,Scottsdale,2,3/17/2026,0342D,Traci Duez,"Developing Your EQ to RISE (Reach, Inspire, Serve, and Engage)",2,1,,Yes
EV002,Scottsdale,2,3/17/2026,0402D,Jeff Panning,How to Capture Customer Requirements and Develop Project Scope,2,1,,Yes
EV002,Scottsdale,2,3/17/2026,0562D,Iain Fraser,"Value Management – Designed, Built, and Operationalized for Success",2,1,,Yes
EV002,Scottsdale,2,3/17/2026,0643D,Thomas Jarocki,"Orchestrate Total Success: People, Projects, Change",3,1,,Yes
EV002,Scottsdale,2,3/17/2026,0694D,Michel Thiry,Program Management Master Class,4,1,,Yes
EV002,Scottsdale,2,3/17/2026,0724D,Brad Malone,From PMBOK® to Practice: Building Your PM Competency Foundation,4,1,,Yes
