Row,Course_ID,First_Day,Last_Day,Error
127,0032D,9/14/2026,9/15/2026,"Room_Number 5 is invalid for event "Denver" (valid range: 1-1)"
128,0082D,9/16/2026,9/17/2026,"Room_Number 5 is invalid for event "Denver" (valid range: 1-1)"
129,0372D,9/14/2026,9/15/2026,"Room_Number 10 is invalid for event "Denver" (valid range: 1-1)"
130,0872D,9/15/2026,9/16/2026,"Room_Number 6 is invalid for event "Denver" (valid range: 1-1)"
132,0951D,9/17/2026,9/17/2026,"Room_Number 4 is invalid for event "Denver" (valid range: 1-1)"
133,1203D,9/15/2026,9/17/2026,"Room_Number 7 is invalid for event "Denver" (valid range: 1-1)"
134,1243D,9/14/2026,9/16/2026,"Room_Number 4 is invalid for event "Denver" (valid range: 1-1)"
135,1724D,9/14/2026,9/17/2026,"Room_Number 2 is invalid for event "Denver" (valid range: 1-1)"
136,1774D,9/14/2026,9/17/2026,"Room_Number 3 is invalid for event "Denver" (valid range: 1-1)"
137,1813D,9/14/2026,9/16/2026,"Room_Number 8 is invalid for event "Denver" (valid range: 1-1)"
138,1821D,9/17/2026,9/17/2026,"Room_Number 8 is invalid for event "Denver" (valid range: 1-1)"
139,1991D,9/14/2026,9/14/2026,"Room_Number 6 is invalid for event "Denver" (valid range: 1-1)"
140,2072D,9/14/2026,9/15/2026,"Room_Number 9 is invalid for event "Denver" (valid range: 1-1)"
141,TBD3,9/16/2026,9/17/2026,"Room_Number 9 is invalid for event "Denver" (valid range: 1-1)"
