Course_ID,Duration_Days,First_Day,Last_Day,Event_ID,Room_Number
0132D,2,2/23/2026,2/24/2026,EV001,1
0182D,2,2/25/2026,2/26/2026,EV001,1
0621D,1,2/25/2026,2/25/2026,EV001,1
0672D,2,2/25/2026,2/26/2026,EV001,1
0682D,2,2/25/2026,2/26/2026,EV001,1
0823D,3,2/23/2026,2/25/2026,EV001,1
1074H,0.5,2/26/2026,2/26/2026,EV001,1
1132D,2,2/23/2026,2/24/2026,EV001,1
1421D,1,2/23/2026,2/23/2026,EV001,1
1702D,2,2/23/2026,2/24/2026,EV001,1
1802D,2,2/23/2026,2/24/2026,EV001,1
1892D,2,2/25/2026,2/26/2026,EV001,1
1972D,2,2/23/2026,2/24/2026,EV001,1
2033D,3,2/23/2026,2/25/2026,EV001,1
2092D,2,2/25/2026,2/26/2026,EV001,1
0032D,2,3/16/2026,3/17/2026,EV002,1
0082D,2,3/18/2026,3/19/2026,EV002,1
0192D,2,3/18/2026,3/19/2026,EV002,1
0342D,2,3/16/2026,3/17/2026,EV002,1
0402D,2,3/16/2026,3/17/2026,EV002,1
0422D,2,3/18/2026,3/19/2026,EV002,1
0541D,1,3/16/2026,3/16/2026,EV002,1
0562D,2,3/16/2026,3/17/2026,EV002,1
0643D,3,3/17/2026,3/19/2026,EV002,1
0694D,4,3/16/2026,3/19/2026,EV002,1
0724D,4,3/16/2026,3/19/2026,EV002,1
1091D,1,3/17/2026,3/17/2026,EV002,1
1101D,1,3/16/2026,3/16/2026,EV002,1
1464D,4,3/16/2026,3/19/2026,EV002,1
1482D,2,3/16/2026,3/17/2026,EV002,1
1552D,2,3/18/2026,3/19/2026,EV002,1
1802D,2,3/18/2026,3/19/2026,EV002,1
2022D,2,3/18/2026,3/19/2026,EV002,1
0432D,2,4/21/2026,4/22/2026,EV003,1
0582D,2,4/22/2026,4/23/2026,EV003,1
0612D,2,4/20/2026,4/21/2026,EV003,1
0621D,1,4/20/2026,4/20/2026,EV003,1
0872D,2,4/20/2026,4/21/2026,EV003,1
0951D,1,4/23/2026,4/23/2026,EV003,1
1101D,1,4/21/2026,4/21/2026,EV003,1
1132D,2,4/22/2026,4/23/2026,EV003,1
