Course_ID ,Duration_Days,First_Day,Last_Day
0024D,4,2026-06-15,2026-06-18
0032D,2,2026-07-20,2026-07-21
0032D,2,2026-06-15,2026-06-16
0032D,2,2026-03-16,2026-03-17
0032D,2,2026-05-11,2026-05-12
0032D,2,2026-11-18,2026-11-19
0032D,2,2026-09-14,2026-09-15
0082D,2,2026-07-22,2026-07-23
0082D,2,2026-06-17,2026-06-18
0082D,2,2026-03-18,2026-03-19
0082D,2,2026-05-13,2026-05-14
0082D,2,2026-09-16,2026-09-17
0102D,2,2026-07-22,2026-07-23
0132D,2,2026-08-05,2026-08-06
0132D,2,2026-02-23,2026-02-24
0132D,2,2026-11-16,2026-11-17
0132D,2,2026-10-19,2026-10-20
0182D,2,2026-02-23,2026-02-24
0182D,2,2026-02-25,2026-02-26
0182D,2,2026-07-20,2026-07-21
0182D,2,2026-11-16,2026-11-17
0192D,2,2026-08-05,2026-08-06
0192D,2,2026-12-07,2026-12-08
0192D,2,2026-03-18,2026-03-19
0282D,2,2026-11-16,2026-11-17
0282D,2,2026-10-28,2026-10-29
0342D,2,2026-12-07,2026-12-08
0342D,2,2026-03-16,2026-03-17
0342D,2,2026-05-13,2026-05-14
0342D,2,2026-11-16,2026-11-17
0372D,2,2026-07-20,2026-07-21
0372D,2,2026-09-14,2026-09-15
0402D,2,2026-07-22,2026-07-23
0402D,2,2026-06-17,2026-06-18
0402D,2,2026-03-16,2026-03-17
0402D,2,2026-05-11,2026-05-12
0402D,2,2026-10-26,2026-10-27
0422D,2,2026-03-18,2026-03-19
0422D,2,2026-10-28,2026-10-29
0432D,2,2026-04-21,2026-04-22
0432D,2,2026-11-16,2026-11-17
0482D,2,2026-07-20,2026-07-21
0482D,2,2026-06-15,2026-06-16
0482D,2,2026-11-16,2026-11-17
0541D,1,2026-08-03,2026-08-03
0541D,1,2026-12-07,2026-12-07
0541D,1,2026-06-15,2026-06-15
0541D,1,2026-03-16,2026-03-16
0541D,1,2026-05-14,2026-05-14
0552D,2,2026-06-15,2026-06-16
0562D,2,2026-08-03,2026-08-04
0562D,2,2026-12-09,2026-12-10
0562D,2,2026-03-16,2026-03-17
0582D,2,2026-04-22,2026-04-23
0582D,2,2026-07-20,2026-07-21
0612D,2,2026-04-20,2026-04-21
0612D,2,2026-11-18,2026-11-19
0621D,1,2026-04-20,2026-04-20
0621D,1,2026-02-25,2026-02-25
0643D,3,2026-08-04,2026-08-06
0643D,3,2026-12-08,2026-12-10
0643D,3,2026-06-16,2026-06-18
0643D,3,2026-03-17,2026-03-19
0643D,3,2026-05-11,2026-05-13
0672D,2,2026-02-25,2026-02-26
0682D,2,2026-02-25,2026-02-26
0694D,4,2026-06-15,2026-06-18
0694D,4,2026-03-16,2026-03-19
0694D,4,2026-10-26,2026-10-29
0724D,4,2026-03-16,2026-03-19
0742D,2,2026-07-21,2026-07-22
0742D,2,2026-05-11,2026-05-12
0784H,0.5,2026-05-13,2026-05-13
0823D,3,2026-02-23,2026-02-25
0872D,2,2026-04-20,2026-04-21
0872D,2,2026-12-09,2026-12-10
0872D,2,2026-06-17,2026-06-18
0872D,2,2026-09-15,2026-09-16
0904D,4,2026-12-07,2026-12-10
0904D,4,2026-09-14,2026-09-17
0951D,1,2026-04-23,2026-04-23
0951D,1,2026-12-08,2026-12-08
0951D,1,2026-06-16,2026-06-16
0951D,1,2026-09-17,2026-09-17
1022D,2,2026-12-09,2026-12-10
1022D,2,2026-05-11,2026-05-12
1022D,2,2026-11-18,2026-11-19
1042D,2,2026-07-21,2026-07-22
1042D,2,2026-06-17,2026-06-18
1042D,2,2026-05-11,2026-05-12
1074H,0.5,2026-02-26,2026-02-26
1074H,0.5,2026-07-20,2026-07-20
1091D,1,2026-08-03,2026-08-03
1091D,1,2026-03-17,2026-03-17
1101D,1,2026-04-21,2026-04-21
1101D,2,2026-08-04,2026-08-04
1101D,1,2026-03-16,2026-03-16
1132D,2,2026-04-22,2026-04-23
1132D,2,2026-02-23,2026-02-24
1203D,3,2026-09-15,2026-09-17
1211D,1,2026-07-22,2026-07-22
1211D,1,2026-11-16,2026-11-16
1243D,3,2026-09-14,2026-09-16
1251D,1,2026-07-22,2026-07-22
1344H,0.6,2026-04-20,2026-04-20
1394H,0.5,2026-11-18,2026-11-18
1402D,2,2026-05-11,2026-05-12
1402D,2,2026-11-16,2026-11-17
1402D,2,2026-10-27,2026-10-28
1414H,0.5,2026-07-20,2026-07-20
1421D,1,2026-02-23,2026-02-23
1421D,1,2026-11-18,2026-11-18
1421D,1,2026-10-26,2026-10-26
1464D,4,2026-12-07,2026-12-10
1464D,4,2026-06-15,2026-06-18
1464D,4,2026-03-16,2026-03-19
1464D,4,2026-11-16,2026-11-19
1482D,2,2026-04-27,2026-04-28
1482D,2,2026-06-15,2026-06-16
1482D,2,2026-03-16,2026-03-17
1482D,2,2026-11-16,2026-11-17
1482D,2,2026-10-26,2026-10-27
1492D,2,2026-11-18,2026-11-19
1524H,0.5,2026-11-17,2026-11-17
1542D,2,2026-10-19,2026-10-20
1552D,2,2026-06-17,2026-06-18
1552D,2,2026-03-18,2026-03-19
1552D,2,2026-11-18,2026-11-19
1552D,2,2026-10-28,2026-10-29
1602D,2,2026-04-22,2026-04-23
1641D,1,2026-04-20,2026-04-20
1651D,1,2026-04-21,2026-04-21
1681D,1,2026-10-28,2026-10-28
1692D,2,2026-06-17,2026-06-18
1702D,2,2026-02-23,2026-02-24
1702D,2,2026-11-16,2026-11-17
1702D,2,2026-10-26,2026-10-27
1712D,2,2026-11-18,2026-11-19
1724D,4,2026-04-20,2026-04-23
1724D,4,2026-12-07,2026-12-10
1724D,4,2026-09-14,2026-09-17
1731D,1,2026-04-20,2026-04-20
1731D,1,2026-06-15,2026-06-15
1741D,1,2026-04-21,2026-04-21
1741D,1,2026-06-16,2026-06-16
1752D,2,2026-08-03,2026-08-04
1752D,2,2026-12-07,2026-12-08
1752D,2,2026-11-16,2026-11-17
1762D,2,2026-08-05,2026-08-06
1762D,2,2026-12-09,2026-12-10
1762D,2,2026-11-18,2026-11-19
1774D,4,2026-09-14,2026-09-17
1782D,2,2026-11-16,2026-11-17
1802D,2,2026-04-20,2026-04-21
1802D,2,2026-02-23,2026-02-24
1802D,2,2026-07-20,2026-07-21
1802D,2,2026-03-18,2026-03-19
1802D,2,2026-11-18,2026-11-19
1802D,2,2026-10-26,2026-10-27
1813D,3,2026-12-07,2026-12-09
1813D,3,2026-06-15,2026-06-17
1813D,3,2026-05-11,2026-05-13
1813D,3,2026-09-14,2026-09-16
1821D,1,2026-08-05,2026-08-05
1821D,1,2026-12-10,2026-12-10
1821D,1,2026-06-18,2026-06-18
1821D,1,2026-05-14,2026-05-14
1821D,1,2026-09-17,2026-09-17
1831D,1,2026-08-06,2026-08-06
1864H,0.6,2026-04-21,2026-04-21
1864H,0.6,2026-11-16,2026-11-16
1882D,2,2026-07-28,2026-07-29
1892D,2,2026-02-25,2026-02-26
1902D,2,2026-04-20,2026-04-21
1902D,2,2026-10-28,2026-10-29
1912D,2,2026-10-26,2026-10-27
1932D,2,2026-04-22,2026-04-23
1932D,2,2026-06-15,2026-06-16
1962D,2,2026-10-19,2026-10-20
1972D,2,2026-04-20,2026-04-21
1972D,2,2026-02-23,2026-02-24
1972D,2,2026-05-13,2026-05-14
1991D,1,2026-10-19,2026-10-20
1991D,1,2026-09-14,2026-09-14
2002D,2,2026-04-27,2026-04-28
2002D,2,2026-08-03,2026-08-04
2012D,2,2026-04-27,2026-04-28
2012D,2,2026-10-19,2026-10-20
2022D,2,2026-04-27,2026-04-28
2022D,2,2026-03-18,2026-03-19
2033D,3,2026-02-23,2026-02-25
2033D,3,2026-07-20,2026-07-22
2033D,3,2026-06-15,2026-06-17
2053D,3,2026-08-03,2026-08-05
2053D,3,2026-05-11,2026-05-13
2063D,3,2026-04-20,2026-04-22
2072D,2,2026-07-28,2026-07-29
2072D,2,2026-11-18,2026-11-19
2072D,2,2026-10-26,2026-10-27
2072D,2,2026-09-14,2026-09-15
2084D,4,2026-06-15,2026-06-18
2092D,2,2026-04-22,2026-04-23
2092D,2,2026-02-25,2026-02-26
2092D,2,2026-05-13,2026-05-14
NEW,2,2026-06-15,2026-06-16
NEW,2,2026-06-17,2026-06-18
New 2D,2,2026-10-28,2026-10-29
TBD,1,2026-07-28,2026-07-28
TBD,1,2026-07-29,2026-07-29
TBD,2,2026-10-26,2026-10-27
TBD,2,2026-10-26,2026-10-27
TBD,2,2026-10-28,2026-10-29
TBD,2,2026-09-16,2026-09-17
